# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][lemma="not"][tag="DT"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://davesgarden.com/guides/articles/view/2715	Where I live now I have no room for one , though , and I have learned that just building	a greenhouse is not the	same as maintaining one ... so it is best to have it done right from the start and perhaps have one built for you if you are not the construction type ( which I am most certainly not ) .
http://defamer.gawker.com/one-asshole-oscar-voter-explains-his-asshole-voting-pro-1531754354	Amongst his many opinions , he believes 12 Years	a Slave is not a	" courageous " movie , that Jared Leto is only nominated because of the " person he 's playing , " that Woody Allen is facing a lot of " absurd bullshit , " and that American Hustle is basically the best thing ever .
http://dianeravitch.net/category/on-line-education		A platform is not a	platform .
http://dianeravitch.net/category/on-line-education		A bookmark is not a	bookmark because an e-book is not a book .
http://www.microscopy-uk.org.uk/mag/artaug08/gm-eyepiece.html	Taking apart	an eyepiece is not a	job for the average tools you might have for common trades and tasks .
http://atpm.com/13.12/bloggable.shtml	And , judging by reports that even Java 5 support is worse on Leopard than it was on Tiger , Java as	a whole is not a	priority for Apple .
http://gcc.gnu.org/onlinedocs/gcc-2.95.3/cpp_1.html	Therefore , you cannot create a comment by concatenating ' / ' and ' * ' : the ' / * ' sequence that starts	a comment is not a	lexical unit , but rather the beginning of a " long " space character .
http://git-scm.com/docs/git-config.html	cr-at-eol treats a carriage-return at the end of line as part of the line terminator , i.e. with it , trailing-space does not trigger if the character before such	a carriage-return is not a	whitespace ( not enabled by default ) .
http://www.guardian.co.uk/music/2007/jan/21/folk.features1		A yoik is not a	song but a resonant melodic phrase , sung unaccompanied and repeated through various iterations with no fixed beginning or end .
http://here-and-now.org/wings.book/3d.html	He pointed out , however , that the beauty of	an object is not the	whole story , for all beautiful objects must decay .
http://www.visionofbritain.org.uk/text/chap_page.jsp;jsessionid=8F00D4585510D51CBF4A44589D648D7A?t_id=Borrow%26c_id=22%26cpub_id=0	" If it be , " said the man , " the people are not Welsh ;	a man is not a	horse because he happens to be born in a stable .
http://www.sheffieldforum.co.uk/archive/index.php/t-401189.html	If it puts your mind at rest , I suspect the speed of the response is more about meeting targets than it being anything sinister - after all	a GP is not a	specialist .
http://www.niemanlab.org/2011/11/bull-beware-truth-goggles-sniff-out-suspicious-sentences-in-news	Things get trickier when	a claim is not a	word-for-word match .
http://heraldry.sca.org/loar/2005/08/05-08lar.html	Because	a flame is not an	object ordinarily associated with this saint , a name combining ( Saint ) Bridget + Flame is not registerable .
http://home.mira.net/%7Eandy/works/story-concept.htm	It is this approach which has , for example , allowed cognitive science to use computer models of cognitive processes , without having to be concerned with the obvious fact that	a person is not a	computer .
http://hitchensblog.mailonsunday.co.uk/2010/06/deep-depression-approaching-from-the-left.html?cid=6a00d8341c565553ef0133f15e5329970b		A nation is not a	corporation and never should be .
http://www.howto.co.uk/family/childminding/responding_to_unacceptable_behaviour	Isolating	a child is not an	effective method of behaviour management , and childminders should never put a child into a room and leave them alone .
http://www.hospitaldr.co.uk/blogs/2011/02	Maintaining medical staffing on a wing and	a prayer is not a	success at any level .
http://www.howto.co.uk/business/run-a-restaurant/raising_capital_and_business_partners_investors		A statement is not a	proper invoice .
http://www2.warwick.ac.uk/fac/soc/law/elj/jilt/2004_1/zekos	Hence , it could be argued that	a product is not a	product of nature when the probability to occur in nature is minimal and it is the product of a process involving new technical steps .
http://www.cpgb.org.uk/home/weekly-worker/546/letters	To paraphrase Mao , "	A revolution is not a	dinner party ...
http://fdlbooksalon.com/2012/09/29/fdl-book-salon-welcomes-anat-shenker-osorio	So , asking people outright in	a poll is not that	useful .
http://fieldandstream.blogs.com/gunnut/2006/08/the_unlikely_be.html	What matters in	a gun is not the	price tag but how well it shoots .
http://icteesside.icnetwork.co.uk/0100news/0001head/tm_objectid=15675406%26method=full%26siteid=50080%26headline=don%2dt%2dban%2dannie-name_page.html	The Royal Society for the Prevention of Cruelty to Animals says	a circus is not a	suitable environment as appropriate welfare standards cannot be maintained .
http://feministphilosophers.wordpress.com/our-policies	But having	a pseudonym is not an	excuse for meanness , nor for saying things for which you 're not accountable .
http://www.armchairgeneral.com/what-next-in-afghanistan-a-strategy-options-debate.htm		A surge is not a	strategy ; it 's a component of one in support of a whole government approach .
http://www.snh.org.uk/publications/on-line/heritagemanagement/EIA/d.4.shtml	The findings of the scoping process should be formally presented in the form of a Scoping Report , with a scoping matrix , although the production of such	a report is not a	requirement of the EIA Regulations .
http://jobs.answers.com/unemployment/all		A letter is not a	necessity , but it is a nice gesture and it may help you get the job .
http://kansasstatutes.lesterama.org/Chapter_17/Article_55	( m ) If and when	an association is not a	member of a federal home loan bank , to borrow not more than an aggregate amount equal to 1 / 4 of its capital on the date of borrowing .
http://jormakaukonen.com/cracksinthefinish/?p=2498%26cpage=1	Someone who does n't understand why a recovering alcoholic would be grateful to be	an alcoholic is not an	alcoholic .
http://heraldry.sca.org/loar/2013/10/13-10lar.html		A seeblatt is not a	form of armorial display , and so may be charged in a fieldless badge .
http://hirealawyer.findlaw.com/choosing-the-right-lawyer/taxation-law.html		A tax is not a	voluntary payment but an enforced contribution exacted pursuant to legislative authority .
http://www.thecpsgroup.co.uk/jargon-busters	Unlike a company ,	a partnership is not a	separate legal entity , even though the number of partners may be large .
http://fcit.coedu.usf.edu/holocaust/people/lenk08.htm	To be	a refugee was not a	good reason .
http://thenewinquiry.com/essays/spotivangelism	But	a business is not a	utopia , and it is not a substitute for direct connection to the people and places that make the music you love .
http://thehealthcareblog.com/blog/2011/02/26/the-other-scarlet-letter	If you are a male nurse ( I 'm female , so it does n't apply to me ) and you want children someday , getting	a vasectomny is not an	option .
http://www.hrmagazine.co.uk/hr/features/1015049/fleet-management-new-lease-life-company-cars	" There can be issues because handling	a fleet is not the	HR manager 's sole job but , given this is usually an organisation 's biggest expense after payroll and buildings , it must be taken seriously , " says Jenner .
http://www.spurs.vitalfootball.co.uk/sitepage.asp?a=45966	He has made an offer of a forfeit ..	a forfeit is not a	bet ..
http://www.voa.gov.uk/corporate/Publications/Manuals/CouncilTaxManual/council_tax_man_s2/d-ct-man-s2-pt3.html	The Court decided in both cases that the sale of a " severable proprietorial share " in	a dwelling was not a	sale of the dwelling .
http://worthplaying.com/article/2003/7/10/reviews/11116	In the long run the lack of	a tutorial was not the	end of the world .
