# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][tag="DT"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://godwinplumbing.com/privacy.html		A cookie is a	text file that is placed on your hard disk by a Web page server .
http://theshopsat.webring.org/market?action=sfaq		A listing is a	product placed in the directory for sale .
http://kwrealtymobile.yourkwoffice.com/mcj/user/8-steps-to-buying-a-home.html?pageId=44130	After all ,	a home is the	largest ( and most emotional ) investment most people will ever make .
http://kwrealtymobile.yourkwoffice.com/mcj/user/8-steps-to-buying-a-home.html?pageId=44130	While emotions are probably in high gear once you 've found a home you love , it 's important to remember that	a home is an	investment .
http://www.tarawatch.org/category/health-and-lifestyle	With so many questions ,	a consultation is the	start of contributing positively to one 's future .
http://oktoaskvt.org/ask		A classroom is a	small community in and of itself .
http://rense.com/general96/efsa.html	The recent studies like studies before them for 30 years showed cancer , heart attacks , strokes , obesity , diabetes , etc. It is said where there is smoke there is fire , and the aspartame studies that continually show aspartame as	a killer are a	blazing conflagration that EFSA does n't know how to deal with .
http://rense.com/general96/efsa.html		An NTD is an	opening in the spinal cord or brain that occurs very early in human development .
http://martindalecenter.com/Calculators1_1_CatoClocks.html		A pinhole is a	small hole used in Confocal Microscopes at the detection side of the lenses to get rid of out-of-focus light , thus allowing to record real 3 D images ...
http://martindalecenter.com/Calculators1_1_CatoClocks.html		An analemma is the	figure-of-eight shape that results if the Sun 's position in the sky is recorded at the same time of day throughout the year ...
http://www.world-science.net/othernews/140512_SolarSibling.htm	(	A light-year is the	dis­tance light trav­els in a year . ) The star ca n't be seen with the un­aided eye , but easily can be with light bin ­ oc ­ u ­ lars , not far from the bright star Ve ­ ga .
http://www.trinity.edu/mkearl/hwtheory.html		A definition is no	proof .
http://rationalrevolution.net/war/communism_and_marxism.htm	It was never seen by any of the Communists as " communism " itself , any more than a construction foreman would think that the act of building	a home is the	same as lounging on the couch inside a home .
http://quwiki.deviantart.com/journal/Long-Time-238247895	So made myself	a basilisk been a	little inspired by uriblank hope she do n't mind .
http://quwiki.deviantart.com/journal/Long-Time-238247895	So made myself	a basilisk been a	little inspired by lizardbeth.deviantart.com / hope she do n't mind .
http://dermnetnz.org/lesions/syringoma.html		A syringoma is a	skin coloured or yellowish firm rounded bump , one to three millimetres in diameter .
