# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="smell" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://gaslight.mtroyal.ab.ca/gaslight/escapeX5.htm	" I never knew what the inside of	a parrot-cage smelt like	before .
http://ichthys.com/mail-tools%20and%20methods.htm	I know what	a rose smells like	, and what garbage smells like ; I know what Bach sounds like , and what cacophonous rap sounds like .
http://www.commondreams.org/view/2011/07/21-6	At least when the Right does the exact same thing we would n't have to say	a turd smells like	a rose .
http://www.telegraph.co.uk/news/obituaries/9288518/Paul-Fussell.html	Moved by a hatred of the romanticisation of war which he detected in post-war American culture , he took it upon himself to tell his readers " what	a trench smelt like	and what dead GIs smelt like " and about the cruelty of front line troops .
http://blog.norml.org/2014/05/06/federal-government-to-increase-its-supply-of-marijuana-for-clinical-research/comment-page-1	All the more reason to " try for the clinical trial " ; I understand the NIDA et al. use the seeds and mix all together ; I like	a bud smells like	a pine tree ; both MMJ and Pine trees have " Terpines ; Terpenes are found in " Pine Tree Pitch " .
http://www.qsulis.demon.co.uk/Website_Louise_Gold/The_Ghost_Of_Faffner_Hall_Review.htm	Violinist Nigel Kennady is in the Hall 's post room sorting the post , this includes a violin shaped package for himself , and	a letter smelling like	a florists shop for Wild Impresario , as well as various other items of post , there 's even a letter for Fughetta " Must be a ghost writer " .
http://gavreads.co.uk/2010/08/12/thought-cant-we-just-have-limits-and-like-it	Readers are allowed to be surprised if they pick up a book that looks like	a fish smells like	a fish but acts like a dog but I 've got to say that is rare when you 've been reading a while .
http://www.eclectica.org/v12n1/keegan_squint.html	Tobacco was a good smell then , wholesome , what	a family smelt like	, what fathers smelt like .
http://noconsensus.wordpress.com/2009/11/25/triplets-on-the-hudson-river	If ever	a story smelled like	being planted , that was it .
http://www.poetrymagazines.org.uk/magazine/record.asp?id=10139	The English speak ' roughly the same language , but that does n't mean they know what	a bushfire smells like	on a hot day in February ' .
http://www.theparisreview.org/interviews/3196/the-art-of-fiction-no-69-gabriel-garcia-marquez	I said that I was coming back because I had forgotten what	a guava smelled like	.
http://www.joylandmagazine.com/stories/new_york/savior_clouds		A hamburger smells like	a hamburger , a hot dog smells like a hot dog , a donut smells like a donut .
http://www.phillymag.com/news/2014/04/08/vape-nutter-sign-e-cigarette-regulations	As for the rest of us , it 'll continue to be nice to go out in Philadelphia and not have to leave	an establishment smelling like	the inside of someone else 's mouth .
http://www.telegraph.co.uk/education/educationopinion/10780390/Teach-pupils-to-explore-Shakespeare.html	We should have our children be taught Shakespeare by people who know what	a theatre smells like	, who have worked in that intimate way with a playwright , learning their lines .
http://www.cosmicbaseball.com/jcba18c.html	It 's like trying to imagine what	a quark smells like	, or what it feel like to walk through a brick wall .
http://www.ibiblio.org/librariesfaq/comstrp/comstrp.htm	Pricilla 's scratch ' n ' sniff blouse of	a library smells like	glue , ink and paper .
http://joshreads.com/?p=20053	Kurt Cobain sang that	a baby smells like	butter - this one will smell like bad pizza and anchovies .
http://impishidea.com/spork/city-of-bones-chapter-20-in-rats-alley	The last thing you remember was getting grabbed by a werewolf , then you wake up in	a room smelling like	dog , and then Luke shows up .
http://www.matazone.co.uk/forums/lofiversion/index.php/t13769.html	My best description of what	a rose smells like	would be that it smells sweet , and a bit itchy and it gets worse when it 's an artificle version of it .
http://www.ukbusinessforums.co.uk/forums/archive/index.php/t-113945.html	;) Yes I think it does impact especially if you go into	a meeting smelling like	you have just had a fag Should I send you my spare packet of Trebor Xstrong ?
http://www.ukbusinessforums.co.uk/forums/archive/index.php/t-113945.html	I have been at meetings and visits where I have n't had one all day rather than go into	a room smelling like	an ashtray ...
http://michaelprescott.typepad.com/michael_prescotts_blog/2014/02/music-on-the-brain.html	What	a flower smells like	?
http://www.sheffieldforum.co.uk/archive/index.php/t-53707.html	Just wondered if anyone knew what	a skunk smelled like	.
http://www.sheffieldforum.co.uk/archive/index.php/t-53707.html	Originally posted by thestruggle Just wondered if anyone knew what	a skunk smelled like	.
http://ehstoday.com/ppe/news/protecting-hands-working-women-1235	In addition , women are sensitive to both what	a glove smells like	and how it looks .
http://www.semissourian.com/story/1679555.html	You get to smoke all your cigarettes and I get to breathe clean air and not leave	an establishment smelling like	smoke and do n't worry about family members having an asthma attack .
http://www.itocuk.co.uk/forums/viewtopic.php?t=8400%26start=30%26sid=089b0b1185c00fea73ae50aec072945d	She runs like	a dream smells like	a chippy makes me very hungry lol , on average im getting about 35 mpg possibly more sometimes it is better than my hubbys megane coupe cab and his computer says he gets 37 mpg .
http://www.metro.co.uk/lifestyle/905446-charlie-murphy-i-wasnt-happy-being-one-of-eddies-troops-im-a-general	When my son tells me about advice he 's got from his friends , I ask him if	a rosebud smells like	a rose ?
http://soupsong.com/favocado.html	DECEMBER 30 At 1:03 1:03 in the morning	a fart smells like	a marriage between an avocado and a fish head .
http://lancasteruaf.blogspot.co.uk/2007/12/bnp-in-chaos-as-graham-and-smith.html	I do not know enough about them but I do know what	a rat smells like	and I can smell one now .
http://vitanetonline.com/forums/1/Thread/1998	Another advantage of this supplement is that though it is extracted from fish oils , it has no fishy aftertaste and wo n't give you	a breath smelling like	you have just eaten fish for meal .
http://www.guardian.co.uk/books/2004/jul/31/featuresreviews.guardianreview10	And so I tried to cut away parts of it - tell them what	a trench smelt like	and what dead GIs smelt like and so forth .
http://cslab-sfu.ca/blog/page/5	You 've probably never asked yourself what	a website smells like	, but of course smell is only a metaphor here .
http://www.greatdreams.com/blog-2013/dee-blog484.html	I lived in New York City during 9 / 11 so I know what	an explosion smells like	.
http://www.sheffieldforum.co.uk/archive/index.php/t-995937.html	No one wants to rent	a room smelling like	your filthy cigarette smog .
http://cires.colorado.edu/news/press/2013/natgas.html	" Just like your nose knows what	a flower smells like	, or coffee , or a farm , our instruments can ' smell and identify ' oil and natural gas emissions .
http://www.peterharrington.co.uk/store/autographs-signed-books/product/collection-of-photographs-of-christopher-milne	The three photographs include one of Christopher Robin from the side , holding a butterfly and looking down at it ( 99 × 61 mm ) ; another of Christopher Robin " trying to see what	a butterfly smells like	" by holding it up to his nose ( 103 × 58 mm with a short closed tear ) ; and one of Christopher Robin on a horse ( 53 × 70 mm ) .
http://www.sheffieldforum.co.uk/archive/index.php/t-126656.html	The thing that makes me really want to spew is bad breath , there really is no excuse for	a gob smelling like	you 've been necking turds all day .
http://www.justhungry.com/2006/10/allday_boston_baked_beans.html	( You may need to add some more water to avoid it turning into one lump , if you leave it cooking very long . ) You could start this in your slow cooker or oven early in the morning , and come back to	a house smelling like	dinner .
http://forums.theregister.co.uk/user/31999	ok , this is pretty much the limit for me , if i see ( or smell )	a fanboi smelling like	that , i WILL punch them in the face .
http://nkjemisin.com/2009/04/ways-to-describe-characters-of-color	He 'd seen Fletcher naked , they shared a cabin , but this was n't Fletcher like he was when they were stumbling in or out of the shower , past each other , when you had to be polite and not look ( and not comment on the smell , because just past Jump	a body smelt like	old laundry ) .
http://theeditorsblog.net/2013/05/04/come-to-your-senses	If	a bedroom smells like	the funk of a gym , let a character notice .
